"Page title","Question","Hint","Answer 1","Answer 2","Answer 3","Answer 4","Answer 5","Answer 6","Answer 7","Answer 8"
"Supply-chain security","Visibility of data shared with third-party suppliers","Do you inform consumers how much of their information is shared with, or accessible by, third-party suppliers and their supply chains?","Yes","No","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Supply-chain security","Third-party supplier security requirements","Do you ensure that relevant security requirements, such as the Cloud Security Principles, are placed on third-party suppliers and delivery partners?","Yes","No","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Supply-chain security","Third-party supplier risk assessment","Do you manage the risks to your service from third-party suppliers and delivery partners?","Yes","No","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Supply-chain security","Third-party supplier compliance monitoring","Do you manage your third-party suppliers' compliance with relevant security requirements?","Yes","No","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Supply-chain security","Hardware and software verification","Do you verify that the hardware and software used in the service are genuine and have not been obviously tampered with?","Yes","No","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Authentication of consumers","User authentication and access management","Can only authorised individuals from the consumer organisation access management interfaces for the service?","Yes","No","","","","","",""
"Authentication of consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Authentication of consumers","User access control through support channels","Can only authorised individuals from the consumer organisation perform actions affecting the consumer’s service through your support channels?","Yes","No","","","","","",""
"Authentication of consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Separation and access control within management interfaces","User access control within management interfaces","Can consumers manage only their own service, and not access, modify or otherwise affect the service of other consumers via management tools and interfaces?","Yes","No","","","","","",""
"Separation and access control within management interfaces","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Separation and access control within management interfaces","Administrator permissions","Can consumers restrict permissions given to their administrators?","Yes","No","","","","","",""
"Separation and access control within management interfaces","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Separation and access control within management interfaces","Management interface protection","Do you tell consumers what functionality and protection is available for management interfaces?","Yes","No","","","","","",""
"Separation and access control within management interfaces","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Identity and authentication","Identity and authentication controls","How do your identity and authentication controls ensure that users are authorised to access specific interfaces? Choose all that apply.","Username and two-factor authentication","Username and TLS client certificate","Authentication federation","Limited access over dedicated link, enterprise or community network","Username and password","Username and strong password/passphrase enforcement","Other mechanism",""
"Identity and authentication","Assurance approach","","Service provider assertion","Independent testing of implementation","CESG-assured components","","","","",""
"External interface protection","Onboarding guidance provided","Do you provide onboarding guidance covering secure connection to the service?","Yes","No","","","","","",""
"External interface protection","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"External interface protection","Interconnection method provided","What method of interconnection to the service do you provide? Choose all that apply.","Encrypted PSN service","PSN service","Private WAN","Internet","","","",""
"External interface protection","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Secure service administration","Service management model","Which technical approach do you use for your service management? Choose 1.","Dedicated devices on a segregated network","Dedicated devices for community service management","Dedicated devices for multiple community service management","Service management via bastion hosts","Direct service management","","",""
"Secure service administration","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Audit information provision to consumers","Audit information provided","Do you provide audit information to consumers? Choose 1.","None","Data made available","Data made available by negotiation","","","","",""
"Audit information provision to consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Secure use of the service by the customer","Device access method","Which end device is the cloud service accessible from?","Corporate/enterprise devices","Partner devices","Unknown devices","","","","",""
"Secure use of the service by the customer","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
"Secure use of the service by the customer","Service configuration guidance","Do you provide guidance on service configuration options and the relative impacts on security?","Yes","No","","","","","",""
"Secure use of the service by the customer","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","",""
"Secure use of the service by the customer","Training","Do you provide user or administrator training on the use of the service and its security?","Yes","No","","","","","",""
"Secure use of the service by the customer","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","",""
