"Page title","Question","Hint","Answer 1","Answer 2","Answer 3","Answer 4","Answer 5","Answer 6","Answer 7","Answer 8","Answer 9"
"Incident management","Consumer reporting of security incidents","Do you have a defined process and contact route for reporting security incidents by consumers and external entities?","Yes","No","","","","","","",""
"Incident management","Security incident definition published","Do you publish to consumers a definition of a security incident, along with the triggers and timescales for sharing such incidents with service consumers?","Yes","No","","","","","","",""
"Incident management","Format of security incident notifications published","Do you publish the content and format of security incident notifications?","Yes","No","","","","","","",""
"Incident management","Maxiumum timescale for incident investigation","What are your maximum timescales by which an incident will be investigated?","1 week","2 weeks","1 month","3 months","","","","",""
"Personnel security","Personnel security checks","What kind of personnel security do you apply to staff who have access to the service? Choose all that apply.","Developed vetting","Security clearance vetting","Baseline personnel security standard (BPSS)","Background checks in accordance with BS7858:2012","Employment checks","None of the above","","",""
"Secure development","Secure development","Are new and evolving threats regularly reviewed and are development tasks initiated to improve and reinforce the security of the service in line with these changing threats?","Yes","No","","","","","","",""
"Secure development","Secure design, coding, testing and deployment","Is software development carried out in line with industry good practice regarding secure design, coding, testing and deployment?","Yes","No","","","","","","",""
"Secure development","Software configuration management","Are software configuration management processes in place to ensure the integrity of the solution through development, testing and deployment?","Yes","No","","","","","","",""
"Supply-chain security","Visibility of data shared with third-party suppliers","Do you inform consumers how much of their information is shared with, or accessible by, third-party suppliers and their supply chains?","Yes","No","","","","","","",""
"Supply-chain security","Third-party supplier security requirements","Do your procurement processes ensure that relevant security requirements, such as the Cloud Security Principles, placed on third-party suppliers and delivery partners are explicitly documented?","Yes","No","","","","","","",""
"Supply-chain security","Third-party supplier risk assessment","Are the risks to your service from third-party suppliers and delivery partners regularly assessed and appropriate security controls implemented?","Yes","No","","","","","","",""
"Supply-chain security","Third-party supplier compliance monitoring","Do you monitor how your suppliers comply with security requirements and initiate remedial action where necessary?","Yes","No","","","","","","",""
"Supply-chain security","Hardware and software verification","Do you have the necessary information and processes to verify that hardware and software used in the service is genuine and has not been obviously tampered with?","Yes","No","","","","","","",""
"Authentication of consumers","User authentication and access management","Can only authorised individuals from the consumer organisation authenticate and access management interfaces for the service?","Yes","No","","","","","","",""
"Authentication of consumers","User access control through support channels","Can only authorised individuals from the consumer organisation perform actions affecting the consumer’s service through support channels?","Yes","No","","","","","","",""
"Separation and access control within management interfaces","User access control within management interfaces","Can consumers manage only their own service, and not access, modify or otherwise affect the service of other consumers via management tools and interfaces?","Yes","No","","","","","","",""
"Separation and access control within management interfaces","Supports 'principle of least privilege'","Does your service support consumers in implementing the ‘principle of least privilege’ by providing the ability to constrain permissions given to consumer administrators?","Yes","No","","","","","","",""
"Separation and access control within management interfaces","Visibility of the networks to which management interfaces are exposed","Do you inform consumers which networks, management interfaces are exposed to and what functionality is available via those interfaces?","Yes","No","","","","","","",""
"Identity and authentication","Identity and authentication controls","What kind of identity and authentication controls do you use to provide an appropriate level of confidence that a user has authorisation to access a specific interface? Choose all that apply.","Username and two factor authentication","Username and TLS client certificate","Authentication federation","Limited access over dedicated link, enterprise or community network","Username and password","Username and strong password/passphrase enforcement","Other mechanism","No controls",""
"External interface protection","Onboarding guidance provided","Do you provide onboarding guidance, covering safe and secure connection?","Yes","No","","","","","","",""
"External interface protection","Interconnection method provided","What method of interconnection do you provide? Choose all that apply.","Internet","PSN WAN","Private WAN","","","","","",""
"External interface protection","Data access control provided","Do you provide access control of the data to the service for consumers?","Yes","No","","","","","","",""
"External interface protection","Authentication and authorisation provided","Do you provide authentication and authorisation to the service for all functions?","Yes","No","","","","","","",""
"Secure service administration","Service management model","Choose 1.","Dedicated devices on a segregated network","Dedicated devices for community service management","Dedicated devices for multiple community service management","Service management via bastion hosts","Direct service management","","","",""
"Audit information provision to consumers","Audit information provided","Do you provide audit information to consumers? Choose 1.","None","Data made available","Data made available by negotiation","","","","","",""
"Secure use of the service by the customer","Device access method","Which end device is the cloud service accessible from?","Corporate/enterprise devices","Partner devices","Unknown devices","","","","","",""
"Secure use of the service by the customer","Onboarding guidance","Do you provide onboarding guidance, including impacts on the consumer’s security?","Yes","No","","","","","","",""
"Secure use of the service by the customer","Training","Do you provide user or administrator training on the use of the service and its security?","Yes","No","","","","","","",""
