"Page title","Question","Hint","Answer 1","Answer 2","Answer 3","Answer 4","Answer 5","Answer 6","Answer 7","Answer 8","Answer 9","Answer 10","Answer 11","Answer 12","Answer 13","Answer 14","Answer 15","Answer 16","Answer 17","Answer 18","Answer 19","Answer 20","Answer 21","Answer 22"
"Provisioning","Service provisioning time","How long does it take to get your service up and running? For example 1 to 5 hours, 2 to 3 days.","","","","","","","","","","","","","","","","","","","","","",""
"Provisioning","Service deprovisioning time","","","","","","","","","","","","","","","","","","","","","","",""
"Open source","Open-source software used and supported","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Code libraries","Languages your code libraries are written in","Examples of code libraries include AWS Ruby SDK and Stripe-Java. Examples of languages include PHP and Python. (Maximum 10 languages.) (Optional.) ","","","","","","","","","","","","","","","","","","","","","",""
"API access","API access available and supported","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"API access","API type","Examples of API include RESTful and SOAP.","","","","","","","","","","","","","","","","","","","","","",""
"Networks and connectivity","Networks the service is directly connected to","Choose all that apply.","Internet","Public Services Network (PSN)","Government Secure intranet (GSi)","Police National Network (PNN)","New NHS Network (N3)","Joint Academic Network (JANET)","Other","","","","","","","","","","","","","","",""
"Access","Supported web browsers","Choose all that apply.","Internet Explorer","Firefox","Chrome","Safari","Opera","","","","","","","","","","","","","","","","",""
"Access","Offline working and syncing supported","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Access","Supported devices","Choose all that apply.","PC","Mac","Smartphone","Tablet","","","","","","","","","","","","","","","","","",""
"Certifications","Vendor certification(s)","Examples of certifications include VMware Certified Professional and Oracle Gold Partner. (Optional.)","","","","","","","","","","","","","","","","","","","","","",""
"Identity standards","Identity standards your service uses","Examples of identity standards include OAuth and SAML. (Optional.)","","","","","","","","","","","","","","","","","","","","","",""
"Data storage","Datacentres adhere to EU Code of Conduct for Operations","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Data storage","User-defined data location","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Data storage","Datacentre tier","Choose one","TIA-942 Tier 1","TIA-942 Tier 2","TIA-942 Tier 3","TIA-942 Tier 4","Uptime Institute Tier 1","Uptime Institute Tier 2","Uptime Institute Tier 3","Uptime Institute Tier 4","","","","","","","","","","","","","",""
"Data storage","Backup, disaster recovery and resilience plan in place","You can provide more detail on your disaster recovery plan in your service definition document.","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Data storage","Data extraction/removal plan in place","","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Data-in-transit protection","Data protection between user device and service","Choose 1","Encrypted PSN service","PSN service","CPA Foundation VPN Gateway","VPN using TLS, version 1.2 or later","VPN using legacy SSL or TLS","No encryption","","","","","","","","","","","","","","","",""
"Data-in-transit protection","Assurance approach","How can you support the above answer?","Service provider assertion","Independent validation of assertion","Independent testing of implementation","CESG-assured components","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Datacentre location","Where are the service provider's datacentres located? Choose all that apply.","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Rest of world","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Data management location","Where are the services managed from? Choose all that apply.","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Rest of world","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Legal jurisdiction of service provider","Choose 1","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Rest of world","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Datacentre protection","Do you tell your consumers what physical security your datacentres have?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Data-at-rest protection","How is storage media containing consumer data protected from unauthorised physical access? Choose 1.","CPA Foundation-grade assured components","FIPS-assured encryption","Other encryption","Secure containers, racks or cages","Physical access control","No protection","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","CESG-assured components","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Secure data deletion","How do you erase consumer data when resources are moved or re-provisioned, or when the consumer leaves the service, or when they request it to be erased? Choose 1.","CPA Foundation-grade erasure product","CESG or CPNI-approved erasure process","Other secure erasure process","Other erasure process","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","CESG-assured components","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Service availability","What is the availability of the service? eg 99.99","","","","","","","","","","","","","","","","","","","","","",""
"Asset protection and resilience","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Cloud deployment model","Is the service a public, private, community or hybrid cloud service?","Public cloud","Community cloud","Private cloud","Hybrid cloud","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Type of consumer","What types of other consumer do you share the service or platform with?","No other consumer","Only government consumers","A specific consumer group, eg Police, Defence or Health","Anyone - public","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Assurance approach","","Service provider assertion","Contractual commitment","Independent validation of assertion","","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Services separation","Do you securely separate consumer data and services from other consumers of the service?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Assurance approach","","Service provider assertion","Independent testing of implementation","Assurance of service design","CESG-assured components","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Services management separation","Is your management of a consumer’s service kept separate from other consumers?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Separation between consumers","Assurance approach","","Service provider assertion","Independent testing of implementation","Assurance of service design","CESG-assured components","","","","","","","","","","","","","","","","","",""
"Governance","Governance framework","Do you have a governance framework and process in place for the service, eg ISO277001:2013?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Governance","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Configuration and change management","Change impact assessment","Are changes to the service assessed for potential security impact, and are changes managed and tracked through to completion?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Configuration and change management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Vulnerability assessment","Are potential threats, vulnerabilities or exploitation techniques which could affect the service assessed, and are corrective actions taken?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Vulnerability monitoring","Do you monitor relevant sources of information relating to threat, vulnerability and exploitation techniques?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Vulnerability mitigation prioritisation","Is the severity of threats and vulnerabilities considered and do you use this information to prioritise implementation of mitigations?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Vulnerability tracking","Are known vulnerabilities within the service tracked until suitable mitigations have been deployed?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Vulnerability mitigation timescales","Do you make timescales available for implementing mitigations to vulnerabilities?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Vulnerabilility management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Event monitoring","Event monitoring","Do you conduct event monitoring and analysis to identify suspicious activity?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Event monitoring","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Incident management","Incident management processes","Do you have incident management processes in place and are they enacted in response to security incidents?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Incident management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Incident management","Consumer reporting of security incidents","Do you have a defined process for reporting security incidents experienced by consumers and external entities?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Incident management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Incident management","Security incident definition published","Do you publish to consumers your definition of a security incident, along with the format, incident triggers and timescales for reporting such incidents?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Incident management","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Personnel security","Personnel security checks","What kind of personnel security do you apply to staff who have access to the service? Choose all that apply.","Security clearance national vetting (SC)","Baseline personnel security standard (BPSS)","Background checks in accordance with BS7858:2012","Employment checks","","","","","","","","","","","","","","","","","",""
"Personnel security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Secure development","Secure development","Are new and evolving threats reviewed and your services improved accordingly?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Secure development","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Secure development","Secure design, coding, testing and deployment","Is development carried out in line with industry good practice regarding secure design, coding, testing and deployment?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Secure development","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Secure development","Software configuration management","Do you have configuration management in place to ensure the integrity of the service through development, testing and deployment?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Secure development","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Visibility of data shared with third-party suppliers","Do you inform consumers how much of their information is shared with, or accessible by, third-party suppliers and their supply chains?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Third-party supplier security requirements","Do you ensure that relevant security requirements, such as the Cloud Security Principles, are placed on third-party suppliers and delivery partners?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Third-party supplier risk assessment","Do you manage the risks to your service from third-party suppliers and delivery partners?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Third-party supplier compliance monitoring","Do you manage your third-party suppliers' compliance with relevant security requirements?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Supply-chain security","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Authentication of consumers","User authentication and access management","Can only authorised individuals from the consumer organisation access management interfaces for the service?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Authentication of consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","","","","","","","","","","","","","","","",""
"Authentication of consumers","User access control through support channels","Can only authorised individuals from the consumer organisation perform actions affecting the consumer’s service through your support channels?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Authentication of consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","","","","","","","","","","","","","","","",""
"Separation and access control within management interfaces","User access control within management interfaces","Can consumers manage only their own service, and not access, modify or otherwise affect the service of other consumers via management tools and interfaces?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Separation and access control within management interfaces","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","","","","","","","","","","","","","","","",""
"Separation and access control within management interfaces","Administrator permissions","Can consumers restrict permissions given to their administrators?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Separation and access control within management interfaces","Assurance approach","","Service provider assertion","Independent validation of assertion","Independent testing of implementation","","","","","","","","","","","","","","","","","","",""
"Identity and authentication","Identity and authentication controls","How do your identity and authentication controls ensure that users are authorised to access specific interfaces? Choose all that apply.","Username and two-factor authentication","Username and TLS client certificate","Authentication federation","Limited access over dedicated link, enterprise or community network","Username and password","Username and strong password/passphrase enforcement","Other mechanism","","","","","","","","","","","","","","",""
"Identity and authentication","Assurance approach","","Service provider assertion","Independent testing of implementation","CESG-assured components","","","","","","","","","","","","","","","","","","",""
"Secure service administration","Service management model","Which technical approach do you use for your service management? Choose 1.","Dedicated devices on a segregated network","Dedicated devices for community service management","Dedicated devices for multiple community service management","Service management via bastion hosts","Direct service management","","","","","","","","","","","","","","","","",""
"Secure service administration","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Audit information provision to consumers","Audit information provided","Do you provide audit information to consumers? Choose 1.","None","Data made available","Data made available by negotiation","","","","","","","","","","","","","","","","","","",""
"Audit information provision to consumers","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Secure use of the service by the customer","Device access method","Which end device is the cloud service accessible from?","Corporate/enterprise devices","Partner devices","Unknown devices","","","","","","","","","","","","","","","","","","",""
"Secure use of the service by the customer","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
"Secure use of the service by the customer","Training","Do you provide user or administrator training on the use of the service and its security?","Yes","No","","","","","","","","","","","","","","","","","","","",""
"Secure use of the service by the customer","Assurance approach","","Service provider assertion","Independent validation of assertion","","","","","","","","","","","","","","","","","","","",""
